"model","exp_id","compute_tier","theta_id","facet_lab","n","gamma","gamma_lab","net_size","mu_star","sigma_star","mu_hat","sigma_hat","a_dstat","e_orbit","decode_time"
"folded_normal","L-DEC","laptop",1,"id=1 (mu*=0.3, sigma*=0.5)",100,0.4,"gamma=0.4",45,0.3,0.5,0,0.5,0.00843616521910984,0.3,1e-06
"folded_normal","L-DEC","laptop",1,"id=1 (mu*=0.3, sigma*=0.5)",100,0.4,"gamma=0.4",45,0.3,0.5,0.4,0.5,0.0154923947372737,0.1,1e-06
"folded_normal","L-DEC","laptop",1,"id=1 (mu*=0.3, sigma*=0.5)",100,0.4,"gamma=0.4",45,0.3,0.5,0.4,0.5,0.00749467421603445,0.1,0.00999999999839929
"folded_normal","L-DEC","laptop",1,"id=1 (mu*=0.3, sigma*=0.5)",100,0.4,"gamma=0.4",45,0.3,0.5,0.4,0.5,0.0065106790269891,0.1,1e-06
"folded_normal","L-DEC","laptop",1,"id=1 (mu*=0.3, sigma*=0.5)",100,0.4,"gamma=0.4",45,0.3,0.5,0.4,0.5,0.0184479221537565,0.1,1e-06
"folded_normal","L-DEC","laptop",1,"id=1 (mu*=0.3, sigma*=0.5)",100,0.4,"gamma=0.4",45,0.3,0.5,0,0.5,0.0155470999327676,0.3,0.0200000000004366
"folded_normal","L-DEC","laptop",1,"id=1 (mu*=0.3, sigma*=0.5)",100,0.4,"gamma=0.4",45,0.3,0.5,0.4,0.5,0.00773217487130984,0.1,0.0200000000004366
"folded_normal","L-DEC","laptop",1,"id=1 (mu*=0.3, sigma*=0.5)",100,0.4,"gamma=0.4",45,0.3,0.5,0.4,0.5,0.00322996115532614,0.1,1e-06
"folded_normal","L-DEC","laptop",1,"id=1 (mu*=0.3, sigma*=0.5)",100,0.4,"gamma=0.4",45,0.3,0.5,0.4,0.5,0.0156328910959137,0.1,1e-06
"folded_normal","L-DEC","laptop",1,"id=1 (mu*=0.3, sigma*=0.5)",100,0.4,"gamma=0.4",45,0.3,0.5,0.4,0.5,0.00676839172170784,0.1,0.00999999999839929
"folded_normal","L-DEC","laptop",1,"id=1 (mu*=0.3, sigma*=0.5)",100,0.4,"gamma=0.4",45,0.3,0.5,0.4,0.5,0.00425108876964431,0.1,1e-06
"folded_normal","L-DEC","laptop",1,"id=1 (mu*=0.3, sigma*=0.5)",100,0.4,"gamma=0.4",45,0.3,0.5,0.4,0.5,0.00331120173262966,0.1,1e-06
"folded_normal","L-DEC","laptop",1,"id=1 (mu*=0.3, sigma*=0.5)",100,0.4,"gamma=0.4",45,0.3,0.5,0.4,0.5,0.00818250778865015,0.1,0.0200000000004366
"folded_normal","L-DEC","laptop",1,"id=1 (mu*=0.3, sigma*=0.5)",100,0.4,"gamma=0.4",45,0.3,0.5,0.4,0.5,0.00420292067655792,0.1,1e-06
"folded_normal","L-DEC","laptop",1,"id=1 (mu*=0.3, sigma*=0.5)",100,0.4,"gamma=0.4",45,0.3,0.5,0.4,0.5,0.00860546045325594,0.1,1e-06
"folded_normal","L-DEC","laptop",1,"id=1 (mu*=0.3, sigma*=0.5)",100,0.4,"gamma=0.4",45,0.3,0.5,0.4,0.5,0.00567162576613522,0.1,1e-06
"folded_normal","L-DEC","laptop",1,"id=1 (mu*=0.3, sigma*=0.5)",100,0.4,"gamma=0.4",45,0.3,0.5,0,0.5,0.00786533135267842,0.3,1e-06
"folded_normal","L-DEC","laptop",1,"id=1 (mu*=0.3, sigma*=0.5)",100,0.4,"gamma=0.4",45,0.3,0.5,0.4,0.5,0.00974558729088115,0.1,0.0200000000004366
"folded_normal","L-DEC","laptop",1,"id=1 (mu*=0.3, sigma*=0.5)",100,0.4,"gamma=0.4",45,0.3,0.5,0.4,0.5,0.0104401904981813,0.1,1e-06
"folded_normal","L-DEC","laptop",1,"id=1 (mu*=0.3, sigma*=0.5)",100,0.4,"gamma=0.4",45,0.3,0.5,0.4,0.5,0.0130196653270276,0.1,1e-06
"folded_normal","L-DEC","laptop",1,"id=1 (mu*=0.3, sigma*=0.5)",100,0.4,"gamma=0.4",45,0.3,0.5,0,0.5,0.00652237594772176,0.3,1e-06
"folded_normal","L-DEC","laptop",1,"id=1 (mu*=0.3, sigma*=0.5)",100,0.4,"gamma=0.4",45,0.3,0.5,0.4,0.5,0.0136338994566225,0.1,0.00999999999839929
"folded_normal","L-DEC","laptop",1,"id=1 (mu*=0.3, sigma*=0.5)",100,0.4,"gamma=0.4",45,0.3,0.5,0,0.5,0.0152900738117677,0.3,0.0200000000004366
"folded_normal","L-DEC","laptop",1,"id=1 (mu*=0.3, sigma*=0.5)",100,0.4,"gamma=0.4",45,0.3,0.5,0.4,0.5,0.00609920320170121,0.1,1e-06
"folded_normal","L-DEC","laptop",1,"id=1 (mu*=0.3, sigma*=0.5)",100,0.4,"gamma=0.4",45,0.3,0.5,0.4,0.5,0.00570222286438604,0.1,1e-06
"folded_normal","L-DEC","laptop",1,"id=1 (mu*=0.3, sigma*=0.5)",100,0.4,"gamma=0.4",45,0.3,0.5,0,0.5,0.00511910015999306,0.3,1e-06
"folded_normal","L-DEC","laptop",1,"id=1 (mu*=0.3, sigma*=0.5)",100,0.4,"gamma=0.4",45,0.3,0.5,0,0.5,0.0144533424354685,0.3,1e-06
"folded_normal","L-DEC","laptop",1,"id=1 (mu*=0.3, sigma*=0.5)",100,0.4,"gamma=0.4",45,0.3,0.5,0.4,0.5,0.00395590010616664,0.1,1e-06
"folded_normal","L-DEC","laptop",1,"id=1 (mu*=0.3, sigma*=0.5)",100,0.4,"gamma=0.4",45,0.3,0.5,0.4,0.5,0.00338474477515049,0.1,1e-06
"folded_normal","L-DEC","laptop",1,"id=1 (mu*=0.3, sigma*=0.5)",100,0.4,"gamma=0.4",45,0.3,0.5,0.4,0.5,0.00659076105137657,0.1,0.169999999998254
"folded_normal","L-DEC","laptop",1,"id=1 (mu*=0.3, sigma*=0.5)",100,0.4,"gamma=0.4",45,0.3,0.5,0.4,0.5,0.00935985294715702,0.1,0.0100000000020373
"folded_normal","L-DEC","laptop",1,"id=1 (mu*=0.3, sigma*=0.5)",100,0.4,"gamma=0.4",45,0.3,0.5,0.4,0.5,0.00472485641022435,0.1,1e-06
"folded_normal","L-DEC","laptop",1,"id=1 (mu*=0.3, sigma*=0.5)",100,0.4,"gamma=0.4",45,0.3,0.5,0.4,0.5,0.0066674089607992,0.1,1e-06
"folded_normal","L-DEC","laptop",1,"id=1 (mu*=0.3, sigma*=0.5)",100,0.4,"gamma=0.4",45,0.3,0.5,0.4,0.5,0.00576222717826413,0.1,1e-06
"folded_normal","L-DEC","laptop",1,"id=1 (mu*=0.3, sigma*=0.5)",100,0.4,"gamma=0.4",45,0.3,0.5,0.4,0.5,0.00342464835735568,0.1,1e-06
"folded_normal","L-DEC","laptop",1,"id=1 (mu*=0.3, sigma*=0.5)",100,0.4,"gamma=0.4",45,0.3,0.5,0.4,0.5,0.00767254868325384,0.1,1e-06
"folded_normal","L-DEC","laptop",1,"id=1 (mu*=0.3, sigma*=0.5)",100,0.4,"gamma=0.4",45,0.3,0.5,0.4,0.5,0.0169746928347625,0.1,1e-06
