theta_id,facet_lab,mu_star,sigma_star,n,q10,q25,q50,q75,q90
9,"mu=2.25, sigma=1.25",2.25,1.25,1600,0.013376138252695634,0.02474921125398871,0.03820723013778417,0.05397037339219292,0.06584641436335849
10,"mu=3.00, sigma=1.25",3,1.25,25,0.10350088555138129,0.17588746564820779,0.28080273971542485,0.37896790588299056,0.5061592700498095
10,"mu=3.00, sigma=1.25",3,1.25,50,0.08680497505317136,0.12975931911888544,0.20273298004625756,0.2897173607913945,0.3708072231156183
10,"mu=3.00, sigma=1.25",3,1.25,100,0.059387504902041865,0.09055010589014237,0.13860749352235238,0.1907908051244556,0.25349768822182106
10,"mu=3.00, sigma=1.25",3,1.25,200,0.03704098190771522,0.062132531791331644,0.09668365725313506,0.1417445925986556,0.18338695272878663
10,"mu=3.00, sigma=1.25",3,1.25,400,0.02368659358904147,0.04055904945652971,0.0678764542439898,0.09600060731714999,0.1298714827879365
10,"mu=3.00, sigma=1.25",3,1.25,800,0.020106941657261526,0.030183499855279683,0.04858707264136139,0.06884835703291878,0.09172169291893847
10,"mu=3.00, sigma=1.25",3,1.25,1600,0.01338173260241294,0.023058876373006208,0.0343231807720504,0.048028761597371857,0.061880119349471
11,"mu=0.30, sigma=2.00",0.3,2,25,0.32955504104999006,0.5723030478511386,1.2209328842957534,1.5041907507689212,1.6810014497786512
11,"mu=0.30, sigma=2.00",0.3,2,50,0.3053412762426201,0.356783690017082,0.8891978344129385,1.2775202833787653,1.4796878618079214
11,"mu=0.30, sigma=2.00",0.3,2,100,0.3046053043603474,0.33537631460498724,0.7743383116682244,1.1206872366396297,1.2962510620574528
11,"mu=0.30, sigma=2.00",0.3,2,200,0.30317896698242625,0.31474763572756403,0.6717034772605306,1.0481080285836026,1.1864144999366348
11,"mu=0.30, sigma=2.00",0.3,2,400,0.3002944306286536,0.3026553634839886,0.4780443401483423,0.8698259527291532,1.0692586167810056
11,"mu=0.30, sigma=2.00",0.3,2,800,0.3000893360104349,0.3018103781139779,0.3342164354729876,0.7661977913628468,0.94455737141035
11,"mu=0.30, sigma=2.00",0.3,2,1600,0.30004827493331243,0.30089642938173256,0.3087743478958288,0.6514340908120159,0.7926957582408654
12,"mu=0.75, sigma=2.00",0.75,2,25,0.5876404415505505,0.7566477351325828,0.9068464887774081,1.151518780768383,1.3623701033698081
12,"mu=0.75, sigma=2.00",0.75,2,50,0.4406861254167697,0.7492780626576654,0.7910353780526814,0.974013227667117,1.1869771641842453
12,"mu=0.75, sigma=2.00",0.75,2,100,0.3798762169951696,0.5911233145129007,0.7584408477292761,0.835707466344758,1.020605092520066
12,"mu=0.75, sigma=2.00",0.75,2,200,0.23661907958354897,0.4280886350420614,0.7428521945975186,0.7694002385502406,0.8457427731416766
12,"mu=0.75, sigma=2.00",0.75,2,400,0.20006390291042744,0.3988465992597126,0.710517925104164,0.764098985221837,0.7819556183753504
12,"mu=0.75, sigma=2.00",0.75,2,800,0.1451439942114523,0.2855156475447842,0.5839221413299881,0.7587387390762811,0.7701172535226244
12,"mu=0.75, sigma=2.00",0.75,2,1600,0.09014794305783361,0.2328017309521136,0.46809105849495974,0.7600175844160539,0.76722867729426
13,"mu=1.50, sigma=2.00",1.5,2,25,0.3088468917239333,0.48452003625023754,0.7249495830540624,1.0550070409095458,1.5507169746819203
13,"mu=1.50, sigma=2.00",1.5,2,50,0.20745607106686886,0.3317057848339694,0.5609534678704435,0.8669637857561558,1.5507248403704816
13,"mu=1.50, sigma=2.00",1.5,2,100,0.1416722456275223,0.2582904779468221,0.4369933405252773,0.6762712747859202,1.5634052005990076
13,"mu=1.50, sigma=2.00",1.5,2,200,0.1069969508479018,0.17779690506872056,0.31492788120502824,0.5291636571622806,1.5673622575582966
13,"mu=1.50, sigma=2.00",1.5,2,400,0.08008188092600436,0.12902920772365128,0.23099964469372547,0.3558959189715509,0.6220375465404112
13,"mu=1.50, sigma=2.00",1.5,2,800,0.05609579989319231,0.09827217461625862,0.1734372711817955,0.2666977076641654,0.43177322460025697
13,"mu=1.50, sigma=2.00",1.5,2,1600,0.044234718896145345,0.06997991719500629,0.11799241729153598,0.19077315859259622,0.2854875185428588
14,"mu=2.25, sigma=2.00",2.25,2,25,0.23875552401328082,0.375197482521216,0.5487816130898394,0.7924038582116537,1.1732834618746484
14,"mu=2.25, sigma=2.00",2.25,2,50,0.177017373793187,0.2863783100347924,0.4234268605329922,0.5866823386714425,0.8337680235087344
14,"mu=2.25, sigma=2.00",2.25,2,100,0.1151160259421985,0.20244552829963475,0.3019502851050965,0.4424842025687868,0.6082284889984798
14,"mu=2.25, sigma=2.00",2.25,2,200,0.08064982130862576,0.13683442758385295,0.21177573655839899,0.3112045771127761,0.4319511765347851
14,"mu=2.25, sigma=2.00",2.25,2,400,0.05292653997250831,0.08285311254303633,0.1401635622534788,0.21771684367791688,0.29343186285706513
14,"mu=2.25, sigma=2.00",2.25,2,800,0.04064660760660557,0.07001053944133045,0.1068822555209982,0.16292830154114382,0.21935313868711606
14,"mu=2.25, sigma=2.00",2.25,2,1600,0.02668552039927907,0.04676403065091006,0.07542543975468641,0.11149824729974712,0.15048924248167803
15,"mu=3.00, sigma=2.00",3,2,25,0.18938424273854515,0.3168384894809807,0.4764878488068881,0.6823748746916223,0.9068307986618728
15,"mu=3.00, sigma=2.00",3,2,50,0.13871553458743388,0.22981208181278723,0.34856458440472227,0.5027962743571556,0.6750772568928505
15,"mu=3.00, sigma=2.00",3,2,100,0.09886823472619195,0.16696191897275753,0.26035576367124436,0.37244993827112227,0.49377101602721607
15,"mu=3.00, sigma=2.00",3,2,200,0.06956718731560196,0.11813835855363128,0.18496307850926536,0.254722518340079,0.33104786821020044
15,"mu=3.00, sigma=2.00",3,2,400,0.05603034444664156,0.08846578321614468,0.13821672244384997,0.18694411156704013,0.24359848992118016
15,"mu=3.00, sigma=2.00",3,2,800,0.0333899787407442,0.05926719197368804,0.09091870833545482,0.13155601999416353,0.17376104600150977
15,"mu=3.00, sigma=2.00",3,2,1600,0.027489037317422766,0.03999322720400057,0.0654288333609841,0.09669149187262964,0.13087282231142872
