theta_id,facet_lab,mu_star,sigma_star,n,eps,p_success
7,"mu=0.75, sigma=1.25",0.75,1.25,800,0.1,0.316
7,"mu=0.75, sigma=1.25",0.75,1.25,800,0.2,0.634
7,"mu=0.75, sigma=1.25",0.75,1.25,1600,0.05,0.184
7,"mu=0.75, sigma=1.25",0.75,1.25,1600,0.1,0.442
7,"mu=0.75, sigma=1.25",0.75,1.25,1600,0.2,0.766
8,"mu=1.50, sigma=1.25",1.5,1.25,25,0.05,0.016
8,"mu=1.50, sigma=1.25",1.5,1.25,25,0.1,0.048
8,"mu=1.50, sigma=1.25",1.5,1.25,25,0.2,0.208
8,"mu=1.50, sigma=1.25",1.5,1.25,50,0.05,0.026
8,"mu=1.50, sigma=1.25",1.5,1.25,50,0.1,0.084
8,"mu=1.50, sigma=1.25",1.5,1.25,50,0.2,0.318
8,"mu=1.50, sigma=1.25",1.5,1.25,100,0.05,0.044
8,"mu=1.50, sigma=1.25",1.5,1.25,100,0.1,0.17
8,"mu=1.50, sigma=1.25",1.5,1.25,100,0.2,0.562
8,"mu=1.50, sigma=1.25",1.5,1.25,200,0.05,0.114
8,"mu=1.50, sigma=1.25",1.5,1.25,200,0.1,0.35
8,"mu=1.50, sigma=1.25",1.5,1.25,200,0.2,0.788
8,"mu=1.50, sigma=1.25",1.5,1.25,400,0.05,0.222
8,"mu=1.50, sigma=1.25",1.5,1.25,400,0.1,0.552
8,"mu=1.50, sigma=1.25",1.5,1.25,400,0.2,0.93
8,"mu=1.50, sigma=1.25",1.5,1.25,800,0.05,0.334
8,"mu=1.50, sigma=1.25",1.5,1.25,800,0.1,0.768
8,"mu=1.50, sigma=1.25",1.5,1.25,800,0.2,0.982
8,"mu=1.50, sigma=1.25",1.5,1.25,1600,0.05,0.57
8,"mu=1.50, sigma=1.25",1.5,1.25,1600,0.1,0.94
8,"mu=1.50, sigma=1.25",1.5,1.25,1600,0.2,1
9,"mu=2.25, sigma=1.25",2.25,1.25,25,0.05,0.016
9,"mu=2.25, sigma=1.25",2.25,1.25,25,0.1,0.07
9,"mu=2.25, sigma=1.25",2.25,1.25,25,0.2,0.278
9,"mu=2.25, sigma=1.25",2.25,1.25,50,0.05,0.046
9,"mu=2.25, sigma=1.25",2.25,1.25,50,0.1,0.142
9,"mu=2.25, sigma=1.25",2.25,1.25,50,0.2,0.43
9,"mu=2.25, sigma=1.25",2.25,1.25,100,0.05,0.074
9,"mu=2.25, sigma=1.25",2.25,1.25,100,0.1,0.302
9,"mu=2.25, sigma=1.25",2.25,1.25,100,0.2,0.71
9,"mu=2.25, sigma=1.25",2.25,1.25,200,0.05,0.108
9,"mu=2.25, sigma=1.25",2.25,1.25,200,0.1,0.404
9,"mu=2.25, sigma=1.25",2.25,1.25,200,0.2,0.898
9,"mu=2.25, sigma=1.25",2.25,1.25,400,0.05,0.298
9,"mu=2.25, sigma=1.25",2.25,1.25,400,0.1,0.73
9,"mu=2.25, sigma=1.25",2.25,1.25,400,0.2,0.986
9,"mu=2.25, sigma=1.25",2.25,1.25,800,0.05,0.436
9,"mu=2.25, sigma=1.25",2.25,1.25,800,0.1,0.912
9,"mu=2.25, sigma=1.25",2.25,1.25,800,0.2,1
9,"mu=2.25, sigma=1.25",2.25,1.25,1600,0.05,0.702
9,"mu=2.25, sigma=1.25",2.25,1.25,1600,0.1,0.992
9,"mu=2.25, sigma=1.25",2.25,1.25,1600,0.2,1
10,"mu=3.00, sigma=1.25",3,1.25,25,0.05,0.02
10,"mu=3.00, sigma=1.25",3,1.25,25,0.1,0.094
10,"mu=3.00, sigma=1.25",3,1.25,25,0.2,0.302
