"model","exp_id","theta_id","facet_lab","mu_star","sigma_star","n","eps","gamma","net_size","tau","tie_rule","p_success","p_se","time_eval_med","time_eval_mean"
"folded_normal","L-FN3",2,"id=2 (mu*=0.75, sigma*=0.5)",0.75,0.5,100,0.1,0.05,1891,5e-04,"uniform",0.226666666666667,0.0341846835964967,0.0599999999994907,0.0567333333333348
"folded_normal","L-FN3",2,"id=2 (mu*=0.75, sigma*=0.5)",0.75,0.5,100,0.1,0.05,1891,0.001,"uniform",0.393333333333333,0.0398850199299789,0.0599999999994907,0.0567333333333348
"folded_normal","L-FN3",2,"id=2 (mu*=0.75, sigma*=0.5)",0.75,0.5,100,0.1,0.05,1891,0.002,"uniform",0.533333333333333,0.0407340061773852,0.0599999999994907,0.0567333333333348
"folded_normal","L-FN3",2,"id=2 (mu*=0.75, sigma*=0.5)",0.75,0.5,100,0.1,0.05,1891,0.005,"uniform",0.773333333333333,0.0341846835964967,0.0599999999994907,0.0567333333333348
"folded_normal","L-FN3",2,"id=2 (mu*=0.75, sigma*=0.5)",0.75,0.5,100,0.1,0.05,1891,0.01,"uniform",0.72,0.0366606055596467,0.0599999999994907,0.0567333333333348
"folded_normal","L-FN3",2,"id=2 (mu*=0.75, sigma*=0.5)",0.75,0.5,100,0.1,0.05,1891,0.02,"uniform",0.526666666666667,0.0407667257199536,0.0599999999994907,0.0567333333333348
"folded_normal","L-FN3",2,"id=2 (mu*=0.75, sigma*=0.5)",0.75,0.5,100,0.1,0.05,1891,0.05,"uniform",0.22,0.0338230690505755,0.0599999999994907,0.0567333333333348
"folded_normal","L-FN3",2,"id=2 (mu*=0.75, sigma*=0.5)",0.75,0.5,200,0.1,0.05,1891,0,"uniform",0.18,0.0313687742827162,0.0799999999999272,0.0829333333333367
"folded_normal","L-FN3",2,"id=2 (mu*=0.75, sigma*=0.5)",0.75,0.5,200,0.1,0.05,1891,1e-04,"uniform",0.146666666666667,0.0288854698831501,0.0799999999999272,0.0829333333333367
"folded_normal","L-FN3",2,"id=2 (mu*=0.75, sigma*=0.5)",0.75,0.5,200,0.1,0.05,1891,5e-04,"uniform",0.293333333333333,0.0371742642956915,0.0799999999999272,0.0829333333333367
"folded_normal","L-FN3",2,"id=2 (mu*=0.75, sigma*=0.5)",0.75,0.5,200,0.1,0.05,1891,0.001,"uniform",0.386666666666667,0.0397622564379467,0.0799999999999272,0.0829333333333367
"folded_normal","L-FN3",2,"id=2 (mu*=0.75, sigma*=0.5)",0.75,0.5,200,0.1,0.05,1891,0.002,"uniform",0.6,0.04,0.0799999999999272,0.0829333333333367
"folded_normal","L-FN3",2,"id=2 (mu*=0.75, sigma*=0.5)",0.75,0.5,200,0.1,0.05,1891,0.005,"uniform",0.88,0.0265329983228432,0.0799999999999272,0.0829333333333367
"folded_normal","L-FN3",2,"id=2 (mu*=0.75, sigma*=0.5)",0.75,0.5,200,0.1,0.05,1891,0.01,"uniform",0.773333333333333,0.0341846835964967,0.0799999999999272,0.0829333333333367
"folded_normal","L-FN3",2,"id=2 (mu*=0.75, sigma*=0.5)",0.75,0.5,200,0.1,0.05,1891,0.02,"uniform",0.573333333333333,0.0403833482368019,0.0799999999999272,0.0829333333333367
"folded_normal","L-FN3",2,"id=2 (mu*=0.75, sigma*=0.5)",0.75,0.5,200,0.1,0.05,1891,0.05,"uniform",0.16,0.0299332590941915,0.0799999999999272,0.0829333333333367
"folded_normal","L-FN3",2,"id=2 (mu*=0.75, sigma*=0.5)",0.75,0.5,400,0.1,0.05,1891,0,"uniform",0.2,0.032659863237109,0.139999999999418,0.135266666666672
"folded_normal","L-FN3",2,"id=2 (mu*=0.75, sigma*=0.5)",0.75,0.5,400,0.1,0.05,1891,1e-04,"uniform",0.14,0.0283313724811677,0.139999999999418,0.135266666666672
"folded_normal","L-FN3",2,"id=2 (mu*=0.75, sigma*=0.5)",0.75,0.5,400,0.1,0.05,1891,5e-04,"uniform",0.326666666666667,0.0382932157225059,0.139999999999418,0.135266666666672
"folded_normal","L-FN3",2,"id=2 (mu*=0.75, sigma*=0.5)",0.75,0.5,400,0.1,0.05,1891,0.001,"uniform",0.4,0.04,0.139999999999418,0.135266666666672
"folded_normal","L-FN3",2,"id=2 (mu*=0.75, sigma*=0.5)",0.75,0.5,400,0.1,0.05,1891,0.002,"uniform",0.58,0.0402988833592198,0.139999999999418,0.135266666666672
"folded_normal","L-FN3",2,"id=2 (mu*=0.75, sigma*=0.5)",0.75,0.5,400,0.1,0.05,1891,0.005,"uniform",0.94,0.0193907194296653,0.139999999999418,0.135266666666672
"folded_normal","L-FN3",2,"id=2 (mu*=0.75, sigma*=0.5)",0.75,0.5,400,0.1,0.05,1891,0.01,"uniform",0.873333333333333,0.027156610272298,0.139999999999418,0.135266666666672
"folded_normal","L-FN3",2,"id=2 (mu*=0.75, sigma*=0.5)",0.75,0.5,400,0.1,0.05,1891,0.02,"uniform",0.76,0.0348711915483254,0.139999999999418,0.135266666666672
"folded_normal","L-FN3",2,"id=2 (mu*=0.75, sigma*=0.5)",0.75,0.5,400,0.1,0.05,1891,0.05,"uniform",0.2,0.032659863237109,0.139999999999418,0.135266666666672
"folded_normal","L-FN3",2,"id=2 (mu*=0.75, sigma*=0.5)",0.75,0.5,800,0.1,0.05,1891,0,"uniform",0.18,0.0313687742827162,0.239999999999782,0.244199999999983
"folded_normal","L-FN3",2,"id=2 (mu*=0.75, sigma*=0.5)",0.75,0.5,800,0.1,0.05,1891,1e-04,"uniform",0.22,0.0338230690505755,0.239999999999782,0.244199999999983
"folded_normal","L-FN3",2,"id=2 (mu*=0.75, sigma*=0.5)",0.75,0.5,800,0.1,0.05,1891,5e-04,"uniform",0.293333333333333,0.0371742642956915,0.239999999999782,0.244199999999983
"folded_normal","L-FN3",2,"id=2 (mu*=0.75, sigma*=0.5)",0.75,0.5,800,0.1,0.05,1891,0.001,"uniform",0.4,0.04,0.239999999999782,0.244199999999983
"folded_normal","L-FN3",2,"id=2 (mu*=0.75, sigma*=0.5)",0.75,0.5,800,0.1,0.05,1891,0.002,"uniform",0.6,0.04,0.239999999999782,0.244199999999983
"folded_normal","L-FN3",2,"id=2 (mu*=0.75, sigma*=0.5)",0.75,0.5,800,0.1,0.05,1891,0.005,"uniform",0.98,0.0114309521329882,0.239999999999782,0.244199999999983
"folded_normal","L-FN3",2,"id=2 (mu*=0.75, sigma*=0.5)",0.75,0.5,800,0.1,0.05,1891,0.01,"uniform",0.933333333333333,0.0203670030886926,0.239999999999782,0.244199999999983
"folded_normal","L-FN3",2,"id=2 (mu*=0.75, sigma*=0.5)",0.75,0.5,800,0.1,0.05,1891,0.02,"uniform",0.64,0.0391918358845309,0.239999999999782,0.244199999999983
"folded_normal","L-FN3",2,"id=2 (mu*=0.75, sigma*=0.5)",0.75,0.5,800,0.1,0.05,1891,0.05,"uniform",0.24,0.0348711915483254,0.239999999999782,0.244199999999983
"folded_normal","L-FN3",3,"id=3 (mu*=1.5, sigma*=0.5)",1.5,0.5,100,0.1,0.05,1891,0,"uniform",0.0933333333333333,0.0237518030504665,0.0400000000008731,0.0456666666667055
"folded_normal","L-FN3",3,"id=3 (mu*=1.5, sigma*=0.5)",1.5,0.5,100,0.1,0.05,1891,1e-04,"uniform",0.113333333333333,0.0258829273059661,0.0400000000008731,0.0456666666667055
"folded_normal","L-FN3",3,"id=3 (mu*=1.5, sigma*=0.5)",1.5,0.5,100,0.1,0.05,1891,5e-04,"uniform",0.126666666666667,0.027156610272298,0.0400000000008731,0.0456666666667055
"folded_normal","L-FN3",3,"id=3 (mu*=1.5, sigma*=0.5)",1.5,0.5,100,0.1,0.05,1891,0.001,"uniform",0.26,0.0358143360495021,0.0400000000008731,0.0456666666667055
"folded_normal","L-FN3",3,"id=3 (mu*=1.5, sigma*=0.5)",1.5,0.5,100,0.1,0.05,1891,0.002,"uniform",0.46,0.0406939798987516,0.0400000000008731,0.0456666666667055
"folded_normal","L-FN3",3,"id=3 (mu*=1.5, sigma*=0.5)",1.5,0.5,100,0.1,0.05,1891,0.005,"uniform",0.86,0.0283313724811677,0.0400000000008731,0.0456666666667055
"folded_normal","L-FN3",3,"id=3 (mu*=1.5, sigma*=0.5)",1.5,0.5,100,0.1,0.05,1891,0.01,"uniform",0.82,0.0313687742827162,0.0400000000008731,0.0456666666667055
"folded_normal","L-FN3",3,"id=3 (mu*=1.5, sigma*=0.5)",1.5,0.5,100,0.1,0.05,1891,0.02,"uniform",0.7,0.0374165738677394,0.0400000000008731,0.0456666666667055
"folded_normal","L-FN3",3,"id=3 (mu*=1.5, sigma*=0.5)",1.5,0.5,100,0.1,0.05,1891,0.05,"uniform",0.413333333333333,0.0402068724547507,0.0400000000008731,0.0456666666667055
"folded_normal","L-FN3",3,"id=3 (mu*=1.5, sigma*=0.5)",1.5,0.5,200,0.1,0.05,1891,0,"uniform",0.0933333333333333,0.0237518030504665,0.0799999999999272,0.0736000000000058
"folded_normal","L-FN3",3,"id=3 (mu*=1.5, sigma*=0.5)",1.5,0.5,200,0.1,0.05,1891,1e-04,"uniform",0.173333333333333,0.0309072687123799,0.0799999999999272,0.0736000000000058
"folded_normal","L-FN3",3,"id=3 (mu*=1.5, sigma*=0.5)",1.5,0.5,200,0.1,0.05,1891,5e-04,"uniform",0.24,0.0348711915483254,0.0799999999999272,0.0736000000000058
"folded_normal","L-FN3",3,"id=3 (mu*=1.5, sigma*=0.5)",1.5,0.5,200,0.1,0.05,1891,0.001,"uniform",0.306666666666667,0.0376494552614175,0.0799999999999272,0.0736000000000058
"folded_normal","L-FN3",3,"id=3 (mu*=1.5, sigma*=0.5)",1.5,0.5,200,0.1,0.05,1891,0.002,"uniform",0.52,0.0407921561087423,0.0799999999999272,0.0736000000000058
"folded_normal","L-FN3",3,"id=3 (mu*=1.5, sigma*=0.5)",1.5,0.5,200,0.1,0.05,1891,0.005,"uniform",0.973333333333333,0.01315435429951,0.0799999999999272,0.0736000000000058
"folded_normal","L-FN3",3,"id=3 (mu*=1.5, sigma*=0.5)",1.5,0.5,200,0.1,0.05,1891,0.01,"uniform",0.906666666666667,0.0237518030504665,0.0799999999999272,0.0736000000000058
"folded_normal","L-FN3",3,"id=3 (mu*=1.5, sigma*=0.5)",1.5,0.5,200,0.1,0.05,1891,0.02,"uniform",0.766666666666667,0.0345339339287112,0.0799999999999272,0.0736000000000058
"folded_normal","L-FN3",3,"id=3 (mu*=1.5, sigma*=0.5)",1.5,0.5,200,0.1,0.05,1891,0.05,"uniform",0.433333333333333,0.0404603143467403,0.0799999999999272,0.0736000000000058
"folded_normal","L-FN3",3,"id=3 (mu*=1.5, sigma*=0.5)",1.5,0.5,400,0.1,0.05,1891,0,"uniform",0.0933333333333333,0.0237518030504665,0.139999999999418,0.136866666666695
