theta_id,facet_lab,mu_star,sigma_star,n,disc_neg_rate,v_neg_rate,sigma_zero_rate,mean_err,median_err
14,"mu=2.25, sigma=2.00",2.25,2,100,0.012,0,0,0.36243459855011334,0.3019502851050965
14,"mu=2.25, sigma=2.00",2.25,2,200,0.004,0,0,0.25437692731193945,0.21177573655839899
14,"mu=2.25, sigma=2.00",2.25,2,400,0,0,0,0.16647047096033765,0.1401635622534788
14,"mu=2.25, sigma=2.00",2.25,2,800,0,0,0,0.12458016287710247,0.1068822555209982
14,"mu=2.25, sigma=2.00",2.25,2,1600,0,0,0,0.08422493383196368,0.07542543975468641
15,"mu=3.00, sigma=2.00",3,2,25,0.016,0,0,0.5698110205374849,0.4764878488068881
15,"mu=3.00, sigma=2.00",3,2,50,0.002,0,0,0.3953846246415093,0.34856458440472227
15,"mu=3.00, sigma=2.00",3,2,100,0,0,0,0.2820566852000383,0.26035576367124436
15,"mu=3.00, sigma=2.00",3,2,200,0,0,0,0.19819738039363097,0.18496307850926536
15,"mu=3.00, sigma=2.00",3,2,400,0,0,0,0.14614069825259018,0.13821672244384997
15,"mu=3.00, sigma=2.00",3,2,800,0,0,0,0.09968341917538073,0.09091870833545482
15,"mu=3.00, sigma=2.00",3,2,1600,0,0,0,0.07296337260629279,0.0654288333609841
