"model","exp_id","theta_id","facet_lab","mu_star","sigma_star","n","eps","gamma","gamma_lab","net_size","p_success"
"folded_normal","L-FN2",6,"id=6 (mu*=0.3, sigma*=1.25)",0.3,1.25,200,0.1,0.05,"gamma=0.05",1891,0.166666666666667
"folded_normal","L-FN2",6,"id=6 (mu*=0.3, sigma*=1.25)",0.3,1.25,400,0.1,0.05,"gamma=0.05",1891,0.166666666666667
"folded_normal","L-FN2",6,"id=6 (mu*=0.3, sigma*=1.25)",0.3,1.25,800,0.1,0.05,"gamma=0.05",1891,0.18
"folded_normal","L-FN2",7,"id=7 (mu*=0.75, sigma*=1.25)",0.75,1.25,50,0.1,0.1,"gamma=0.1",496,0.0333333333333333
"folded_normal","L-FN2",7,"id=7 (mu*=0.75, sigma*=1.25)",0.75,1.25,100,0.1,0.1,"gamma=0.1",496,0.133333333333333
"folded_normal","L-FN2",7,"id=7 (mu*=0.75, sigma*=1.25)",0.75,1.25,200,0.1,0.1,"gamma=0.1",496,0.22
"folded_normal","L-FN2",7,"id=7 (mu*=0.75, sigma*=1.25)",0.75,1.25,400,0.1,0.1,"gamma=0.1",496,0.28
"folded_normal","L-FN2",7,"id=7 (mu*=0.75, sigma*=1.25)",0.75,1.25,800,0.1,0.1,"gamma=0.1",496,0.366666666666667
"folded_normal","L-FN2",7,"id=7 (mu*=0.75, sigma*=1.25)",0.75,1.25,50,0.1,0.05,"gamma=0.05",1891,0.02
"folded_normal","L-FN2",7,"id=7 (mu*=0.75, sigma*=1.25)",0.75,1.25,100,0.1,0.05,"gamma=0.05",1891,0.0866666666666667
"folded_normal","L-FN2",7,"id=7 (mu*=0.75, sigma*=1.25)",0.75,1.25,200,0.1,0.05,"gamma=0.05",1891,0.126666666666667
"folded_normal","L-FN2",7,"id=7 (mu*=0.75, sigma*=1.25)",0.75,1.25,400,0.1,0.05,"gamma=0.05",1891,0.22
"folded_normal","L-FN2",7,"id=7 (mu*=0.75, sigma*=1.25)",0.75,1.25,800,0.1,0.05,"gamma=0.05",1891,0.38
"folded_normal","L-FN2",8,"id=8 (mu*=1.5, sigma*=1.25)",1.5,1.25,50,0.1,0.1,"gamma=0.1",496,0.04
"folded_normal","L-FN2",8,"id=8 (mu*=1.5, sigma*=1.25)",1.5,1.25,100,0.1,0.1,"gamma=0.1",496,0.133333333333333
"folded_normal","L-FN2",8,"id=8 (mu*=1.5, sigma*=1.25)",1.5,1.25,200,0.1,0.1,"gamma=0.1",496,0.273333333333333
"folded_normal","L-FN2",8,"id=8 (mu*=1.5, sigma*=1.25)",1.5,1.25,400,0.1,0.1,"gamma=0.1",496,0.54
"folded_normal","L-FN2",8,"id=8 (mu*=1.5, sigma*=1.25)",1.5,1.25,800,0.1,0.1,"gamma=0.1",496,0.646666666666667
"folded_normal","L-FN2",8,"id=8 (mu*=1.5, sigma*=1.25)",1.5,1.25,50,0.1,0.05,"gamma=0.05",1891,0.0933333333333333
"folded_normal","L-FN2",8,"id=8 (mu*=1.5, sigma*=1.25)",1.5,1.25,100,0.1,0.05,"gamma=0.05",1891,0.186666666666667
"folded_normal","L-FN2",8,"id=8 (mu*=1.5, sigma*=1.25)",1.5,1.25,200,0.1,0.05,"gamma=0.05",1891,0.333333333333333
"folded_normal","L-FN2",8,"id=8 (mu*=1.5, sigma*=1.25)",1.5,1.25,400,0.1,0.05,"gamma=0.05",1891,0.52
"folded_normal","L-FN2",8,"id=8 (mu*=1.5, sigma*=1.25)",1.5,1.25,800,0.1,0.05,"gamma=0.05",1891,0.78
"folded_normal","L-FN2",9,"id=9 (mu*=2.25, sigma*=1.25)",2.25,1.25,50,0.1,0.1,"gamma=0.1",496,0.22
"folded_normal","L-FN2",9,"id=9 (mu*=2.25, sigma*=1.25)",2.25,1.25,100,0.1,0.1,"gamma=0.1",496,0.453333333333333
"folded_normal","L-FN2",9,"id=9 (mu*=2.25, sigma*=1.25)",2.25,1.25,200,0.1,0.1,"gamma=0.1",496,0.586666666666667
"folded_normal","L-FN2",9,"id=9 (mu*=2.25, sigma*=1.25)",2.25,1.25,400,0.1,0.1,"gamma=0.1",496,0.873333333333333
"folded_normal","L-FN2",9,"id=9 (mu*=2.25, sigma*=1.25)",2.25,1.25,800,0.1,0.1,"gamma=0.1",496,0.973333333333333
"folded_normal","L-FN2",9,"id=9 (mu*=2.25, sigma*=1.25)",2.25,1.25,50,0.1,0.05,"gamma=0.05",1891,0.0933333333333333
"folded_normal","L-FN2",9,"id=9 (mu*=2.25, sigma*=1.25)",2.25,1.25,100,0.1,0.05,"gamma=0.05",1891,0.193333333333333
"folded_normal","L-FN2",9,"id=9 (mu*=2.25, sigma*=1.25)",2.25,1.25,200,0.1,0.05,"gamma=0.05",1891,0.433333333333333
"folded_normal","L-FN2",9,"id=9 (mu*=2.25, sigma*=1.25)",2.25,1.25,400,0.1,0.05,"gamma=0.05",1891,0.686666666666667
"folded_normal","L-FN2",9,"id=9 (mu*=2.25, sigma*=1.25)",2.25,1.25,800,0.1,0.05,"gamma=0.05",1891,0.853333333333333
"folded_normal","L-FN2",10,"id=10 (mu*=3, sigma*=1.25)",3,1.25,50,0.1,0.1,"gamma=0.1",496,0.346666666666667
"folded_normal","L-FN2",10,"id=10 (mu*=3, sigma*=1.25)",3,1.25,100,0.1,0.1,"gamma=0.1",496,0.54
"folded_normal","L-FN2",10,"id=10 (mu*=3, sigma*=1.25)",3,1.25,200,0.1,0.1,"gamma=0.1",496,0.673333333333333
"folded_normal","L-FN2",10,"id=10 (mu*=3, sigma*=1.25)",3,1.25,400,0.1,0.1,"gamma=0.1",496,0.746666666666667
"folded_normal","L-FN2",10,"id=10 (mu*=3, sigma*=1.25)",3,1.25,800,0.1,0.1,"gamma=0.1",496,0.873333333333333
"folded_normal","L-FN2",10,"id=10 (mu*=3, sigma*=1.25)",3,1.25,50,0.1,0.05,"gamma=0.05",1891,0.3
"folded_normal","L-FN2",10,"id=10 (mu*=3, sigma*=1.25)",3,1.25,100,0.1,0.05,"gamma=0.05",1891,0.48
"folded_normal","L-FN2",10,"id=10 (mu*=3, sigma*=1.25)",3,1.25,200,0.1,0.05,"gamma=0.05",1891,0.646666666666667
"folded_normal","L-FN2",10,"id=10 (mu*=3, sigma*=1.25)",3,1.25,400,0.1,0.05,"gamma=0.05",1891,0.813333333333333
