"model","exp_id","theta_id","facet_lab","mu_star","sigma_star","n","gamma","gamma_lab","net_size","q10","q25","q50","q75","q90"
"folded_normal","L-FN2",6,"id=6 (mu*=0.3, sigma*=1.25)",0.3,1.25,400,0.1,"gamma=0.1",496,0.05,0.111803398874989,0.206155281280883,0.335410196624968,0.4767306834871
"folded_normal","L-FN2",6,"id=6 (mu*=0.3, sigma*=1.25)",0.3,1.25,800,0.1,"gamma=0.1",496,0.10562305898749,0.111803398874989,0.206155281280883,0.304138126514911,0.427200187265877
"folded_normal","L-FN2",6,"id=6 (mu*=0.3, sigma*=1.25)",0.3,1.25,50,0.05,"gamma=0.05",1891,0.14142135623731,0.25,0.531507290636733,0.696419413859206,0.832165848854662
"folded_normal","L-FN2",6,"id=6 (mu*=0.3, sigma*=1.25)",0.3,1.25,100,0.05,"gamma=0.05",1891,0.1,0.180277563773199,0.353553390593274,0.559016994374947,0.707985208384274
"folded_normal","L-FN2",6,"id=6 (mu*=0.3, sigma*=1.25)",0.3,1.25,200,0.05,"gamma=0.05",1891,0.05,0.143566017177982,0.3,0.492442890089805,0.670820393249937
"folded_normal","L-FN2",6,"id=6 (mu*=0.3, sigma*=1.25)",0.3,1.25,400,0.05,"gamma=0.05",1891,0.05,0.15,0.304138126514911,0.47169905660283,0.561424813885906
"folded_normal","L-FN2",6,"id=6 (mu*=0.3, sigma*=1.25)",0.3,1.25,800,0.05,"gamma=0.05",1891,0.05,0.111803398874989,0.254950975679639,0.330614588972936,0.429201528089285
"folded_normal","L-FN2",7,"id=7 (mu*=0.75, sigma*=1.25)",0.75,1.25,50,0.1,"gamma=0.1",496,0.158113883008419,0.291547594742265,0.405452459322663,0.570087712549569,0.739583519602368
"folded_normal","L-FN2",7,"id=7 (mu*=0.75, sigma*=1.25)",0.75,1.25,100,0.1,"gamma=0.1",496,0.0707106781186547,0.158113883008419,0.353553390593274,0.452769256906871,0.696419413859206
"folded_normal","L-FN2",7,"id=7 (mu*=0.75, sigma*=1.25)",0.75,1.25,200,0.1,"gamma=0.1",496,0.0707106781186547,0.158113883008419,0.254950975679639,0.380788655293195,0.604152298679729
"folded_normal","L-FN2",7,"id=7 (mu*=0.75, sigma*=1.25)",0.75,1.25,400,0.1,"gamma=0.1",496,0.0707106781186547,0.0707106781186547,0.212132034355964,0.380788655293195,0.667083203206317
"folded_normal","L-FN2",7,"id=7 (mu*=0.75, sigma*=1.25)",0.75,1.25,800,0.1,"gamma=0.1",496,0.0707106781186547,0.0707106781186547,0.158113883008419,0.291547594742265,0.390143954666401
"folded_normal","L-FN2",7,"id=7 (mu*=0.75, sigma*=1.25)",0.75,1.25,50,0.05,"gamma=0.05",1891,0.1802775637732,0.291547594742265,0.456873239885758,0.570087712549569,0.750166481891865
"folded_normal","L-FN2",7,"id=7 (mu*=0.75, sigma*=1.25)",0.75,1.25,100,0.05,"gamma=0.05",1891,0.1,0.206155281280883,0.320156211871642,0.460977222864645,0.667083203206317
"folded_normal","L-FN2",7,"id=7 (mu*=0.75, sigma*=1.25)",0.75,1.25,200,0.05,"gamma=0.05",1891,0.0707106781186547,0.14142135623731,0.25,0.522015325445527,0.621619259458384
"folded_normal","L-FN2",7,"id=7 (mu*=0.75, sigma*=1.25)",0.75,1.25,400,0.05,"gamma=0.05",1891,0.05,0.1,0.212132034355964,0.453261982986516,0.619864812661752
"folded_normal","L-FN2",7,"id=7 (mu*=0.75, sigma*=1.25)",0.75,1.25,800,0.05,"gamma=0.05",1891,0.0499999999999999,0.05,0.11180339887499,0.223606797749979,0.46412378958716
